Plant,Date,Total Invoiced Amount MNOK ,Energy Generated in Gigawatts,Draft Reports Emissions
Plant A,2025-Q3,38.74265309,42.16740312,447.334273
Plant B,2025-Q3,61.3103493,65.333878,757.4453746
Plant C,2025-Q3,25.14410482,26.28009389,240.755782
Plant D,2025-Q3,6.520960136,7.190510903,74.50552432
Plant E,2025-Q3,8.477489317,8.552779987,94.88355406
Plant F,2025-Q3,39.53828498,40.38422379,417.028381
Plant G,2025-Q3,45.05840449,46.30086986,485.6846991
Plant H,2025-Q3,32.68171771,34.49265634,355.2505711
Plant I,2025-Q3,77.96176987,82.97751553,797.4264174
Plant J,2025-Q3,75.54377147,75.72562266,706.8452714
Plant K,2025-Q3,62.99915969,68.84249183,695.6550123
Plant L,2025-Q3,59.23840503,63.57219582,591.7090518
Plant M,2025-Q3,48.67097185,51.62905306,498.2357167
Plant N,2025-Q3,17.50037345,19.1923202,182.3065605
Plant O,2025-Q3,81.42017656,82.54803293,771.2737358
Plant P,2025-Q3,174.1667643,174.6263082,2579.569876
Plant Q,2025-Q3,98.81285868,100.9896173,916.7897361
Plant R,2025-Q3,77.03572415,83.71690421,764.2287692
Plant S,2025-Q3,67.33390956,71.82829751,633.0957017
Plant T,2025-Q3,89.02534253,91.09705021,859.6013819
