Plant,Date,Total Invoiced Amount MNOK ,Energy Generated in Gigawatts,Draft Reports Emissions
Plant A,2026-Q1,47.88989315,47.89,99
Plant B,2026-Q1,68.89401385,62.63,726.1087722
Plant C,2026-Q1,20.66894907,22.97,210.3902934
Plant D,2026-Q1,8.246542017,8.68,89.94499396
Plant E,2026-Q1,5.870035693,5.75,638.4460636
Plant F,2026-Q1,43.04393604,44.15,455.8912259
Plant G,2026-Q1,29.46385168,30.71,322.1701181
Plant H,2026-Q1,24.0556972,25.31,260.7054615
Plant I,2026-Q1,89.32691899,94.89,911.9459709
Plant J,2026-Q1,42.0497679,45.10,210.4960253
Plant K,2026-Q1,59.65264752,64.61,652.8426906
Plant L,2026-Q1,36.34844363,39.75,370.0175027
Plant M,2026-Q1,99,40.50,781.6000795
Plant N,2026-Q1,14.71718464,16.42,155.9660265
Plant O,2026-Q1,67.23191278,75.77,707.9302736
Plant P,2026-Q1,136.7156254,97.65,1442.539592
Plant XX,2026-Q1,57.33725081,65.96,598.7472744
Plant R,2026-Q1,6638.182906,77.16,704.3567603
Plant S,2026-Q1,55.13398797,64.76,570.8126132
Plant T,2026-Q1,64.42834174,75.68,714.1182071
